game_link,name,price of game,developer of game,genres of games,features of game,publisher of game,date release,recommended_os,cpu,memory,gpu_x,storage,Critics Recommend,OpenCritic Rating,platform,Top Critic Average
"HITMAN - Game of the Year Edition₹3,249",HITMAN - Game of the Year Edition,"₹3,249",IO Interactive A/S,ActionAction-AdventureShooterStealth,Single Player,IO Interactive A/S,09/03/20,OS 64-bit Windows 7 / 64-bit Windows 8 (8.1) or Windows 10,"Intel CPU Core i7 3770 3,4 GHz / AMD CPU AMD FX-8350 4 GHz",8,Nvidia GPU GeForce GTX 770 / AMD GPU Radeon R9 290,50,92%,Mighty,Windows,84
"The Medium₹2,949",The Medium,"₹2,949",Bloober Team,HorrorAdventure,Single Player,Bloober Team S.A.,01/28/21,Windows 10 (64bit version only),Intel® Core™ i5-9600 / AMD Ryzen™ 7 3700X,16,@1080p NVIDIA GeForce® GTX 1060 6GB / AMD Radeon™ R9 390X (or equivalent with 4 GB VRAM),30,63%,Strong,PlatformWindowsWindows,75
Into the Breach₹446,Into The Breach,₹446,Subset Games,Turn-BasedRogue-LiteStrategy,Single Player,Subset Games,02/27/18,Windows 7+,1.7 GHz,1 GB,,250 MB,90%,Mighty,PlatformWindowsWindowsMac OSMac OS,88
The Lion's Song₹189,The Lion's Song,₹189,Mi'pu'mi Games,NarrationAdventure,Single Player,Mi'pu'mi Games,05/13/21,Windows 7 / 8 / 10,2 GHZ,1 GB RAM,DirectX 10 compatible,500 MB available space,80%,Strong,PlatformWindowsWindowsMac OSMac OS,81
Costume Quest₹297,Costume Quest,₹297,Double Fine Productions,RPGAdventure,Single Player,Double Fine Productions,10/19/10,Windows 7 or higher,2.2 GHz dual core CPU,1 GB RAM,,"256 MB GeForce 220, Radeon 4550, Intel HD 3000 Graphics",,,PlatformWindowsWindows,
Sunless Sea₹449,Sunless Sea,₹449,Failbetter Games,RPGAdventureIndie,,Failbetter Games,02/25/21,Windows 10,2Ghz or better,1 GB RAM,"1280x768 minimum resolution, DirectX 9.0c compatible graphics card",700 MB available space,81%,Strong,PlatformWindowsWindowsMac OSMac OS,81
2064: Read Only Memories₹469,2064: Read Only Memories,₹469,"MidBoss, LLC",Adventure,Single Player,"MidBoss, LLC",09/28/21,Windows 7,2.0 GHz with SSE2 instruction support,1 GB RAM,Direct X or Open GL 2.0 compatible card,1000 MB available space,63%,Strong,Windows,77
Kraken Academy₹499,Kraken Academy,₹499,Happy Broccoli Games,ComedyAdventureIndie,Single Player,Fellow Traveller,09/03/21,Windows 7,64-bit processor,1 GB RAM,"DX10, DX11, DX12 capable.",400 MB available space,,,Windows,
Assassin's Creed II Standard Edition₹499,Assassin's Creed II,₹499,Ubisoft,Action-Adventure,Single Player,Ubisoft,10/06/20,Windows® XP (32-64 bits) /Windows Vista®(32-64 bits)/Windows 7® (32-64 bits),Intel Core® 2 Duo E6700 2.6 GHz or AMD Athlon 64 X2 6000+ or better,1.5 GB Windows® XP / 2 GB Windows Vista® - Windows 7®,GeForce 8800 GT or ATI Radeon HD 4700 or better,"Assassin's Creed IIAssassin’s Creed® 2 is the follow-up to the title that became the fastest-selling new IP in video game history. The highly anticipated title features a new hero, Ezio Auditore da Firenze, a young Italian noble, and a new era, the Renaissance.
Ezio befriends Leonardo da Vinci, takes on Florence’s most powerful families and ventures throughout the canals of Venice where he learns to become a master assassin.EZIO, A NEW ASSASSIN FOR A NEW ERAEzio Auditore da Firenze is a young Italian noble who will learn the ways of the assassins after his family was betrayed and he looks to seek vengeance. He is a lady’s man, a free soul with panache yet has a very human side to his personality. Through him, you become a master assassin.RENAISSANCE ITALYItaly in the 15th century was less a country and more a collection of city-states where families with political and economic strength began to take leadership roles in cities like Florence and Venice. This journey through some of the most beautiful cities in the world takes place in a time in history where culture and art were born alongside some of the most chilling stories of corruption, greed and murder.A NEW-FOUND FREEDOMYou will be able to perform missions when you want and how you want in this open-ended world that brings back free-running and adds elements such as swimming and even flying to the adventure. The variety in gameplay adds another layer for you to truly play through the game any way you choose.DYNAMIC CROWDDiscover a living, breathing world where every character is an opportunity for the player. Blending in with the crowd is easier, working with in-game characters provide ample rewards but can also lead to surprising consequences.BECOME A MASTER ASSASSINPerfect your skills to become a master assassin where you brandish new weapons, learn to disarm enemies then use their weapons against them, and assassinate enemies using both hidden blades.",,,Windows,
"Ghost Recon Future Solider: Ultimate Edition₹1,499",Ghost Recon Future Solider: Ultimate Edition,"₹1,499",Ubisoft Paris,Action,,Ubisoft,07/28/20,"Windows Vista® (with Service Pack 2)/ Windows 7® (with Service pack 1), both 32 bit & 64 bit versions.",Intel Core2 Quad Q9450/ AMD Phenom II X4 940 or higher,"1024 MB DirectX–compliant, Shader 4.0–enabled video card based on nVidia GeForce GTX 460 or AMD/ATi HD 5850 or better.",25 GB,3 GB Windows Vista® & 7®,,,PlatformWindowsWindows,
