game_id,platform
0,pc
1,pc
2,pc
3,pc
4,pc
5,pc
6,pc
7,pc
8,pc
9,pc
10,pc
11,pc
12,pc
13,pc
14,pc
15,pc
16,pc
17,pc
18,pc
19,pc
20,pc
21,pc
22,pc
23,pc
24,pc
25,pc
26,pc
27,pc
28,pc
29,pc
30,pc
31,pc
32,pc
33,pc
34,pc
35,pc
36,pc
37,pc
38,pc
39,pc
40,pc
41,pc
42,pc
43,pc
44,pc
45,pc
46,pc
47,pc
48,pc
49,pc
50,pc
51,pc
52,pc
53,pc
54,pc
55,pc
56,pc
57,pc
58,pc
59,pc
60,pc
61,pc
62,pc
63,pc
64,pc
65,pc
66,pc
67,pc
68,pc
69,pc
70,pc
71,pc
72,pc
73,pc
74,pc
75,pc
76,pc
77,pc
78,pc
79,pc
80,pc
81,pc
82,pc
83,pc
84,pc
85,pc
86,pc
87,pc
88,pc
89,pc
90,pc
91,pc
92,pc
93,pc
94,pc
95,pc
96,pc
97,pc
98,pc
99,pc
100,pc
101,pc
102,pc
103,pc
104,pc
105,pc
106,pc
107,pc
108,pc
109,pc
110,pc
111,pc
112,pc
113,pc
114,pc
115,pc
116,pc
117,pc
118,pc
119,pc
120,pc
121,pc
122,pc
123,pc
124,pc
125,pc
126,pc
127,pc
128,pc
129,pc
130,pc
131,pc
132,pc
133,pc
134,pc
135,pc
136,pc
137,pc
138,pc
139,pc
140,pc
141,pc
142,pc
143,pc
144,pc
145,pc
146,pc
147,pc
148,pc
149,pc
150,pc
151,pc
152,pc
153,pc
154,pc
155,pc
156,pc
157,pc
158,pc
159,pc
160,pc
161,pc
162,pc
163,pc
164,pc
165,pc
166,pc
167,pc
168,pc
169,pc
170,pc
171,pc
172,pc
173,pc
174,pc
175,pc
176,pc
177,pc
178,pc
179,pc
180,pc
181,pc
182,pc
183,pc
184,pc
185,pc
186,pc
187,pc
188,pc
189,pc
190,pc
191,pc
192,pc
193,pc
194,pc
195,pc
196,pc
197,pc
198,pc
199,pc
200,pc
201,pc
202,pc
203,pc
204,pc
205,pc
206,pc
207,pc
208,pc
209,pc
210,pc
211,pc
212,pc
213,pc
214,pc
215,pc
216,pc
217,pc
218,pc
219,pc
220,pc
221,pc
222,pc
223,pc
224,pc
225,pc
226,pc
227,pc
228,pc
229,pc
230,pc
231,pc
232,pc
233,pc
234,pc
235,pc
236,pc
237,pc
238,pc
239,pc
240,pc
241,pc
242,pc
243,pc
244,pc
245,pc
246,pc
247,pc
248,pc
249,pc
250,pc
251,pc
252,pc
253,pc
254,pc
255,pc
256,pc
257,pc
258,pc
259,pc
260,pc
261,pc
262,pc
263,pc
264,pc
265,pc
266,pc
267,pc
268,pc
269,pc
270,pc
271,pc
272,pc
273,pc
274,pc
275,pc
276,pc
277,pc
278,pc
279,pc
280,pc
281,pc
282,pc
283,pc
284,pc
285,pc
286,pc
287,pc
288,pc
289,pc
290,pc
291,pc
292,pc
293,pc
294,pc
295,pc
296,pc
297,pc
298,pc
299,pc
300,pc
301,pc
302,pc
303,pc
304,pc
305,pc
306,pc
307,pc
308,pc
309,pc
310,pc
311,pc
312,pc
313,pc
314,pc
315,pc
316,pc
317,pc
318,pc
319,pc
320,pc
321,pc
322,pc
323,pc
324,pc
325,pc
326,pc
327,pc
328,pc
329,pc
330,pc
331,pc
332,pc
333,pc
334,pc
335,pc
336,pc
337,pc
338,pc
339,pc
340,pc
341,pc
342,pc
343,pc
344,pc
345,pc
346,pc
347,pc
348,pc
349,pc
350,pc
351,pc
352,pc
353,pc
354,pc
355,pc
356,pc
357,pc
358,pc
359,pc
360,pc
361,pc
362,pc
363,pc
364,pc
365,pc
366,pc
367,pc
368,pc
369,pc
370,pc
371,pc
372,pc
373,pc
374,pc
375,pc
376,pc
377,pc
378,pc
379,pc
380,pc
381,pc
382,pc
383,pc
384,pc
385,pc
386,pc
387,pc
388,pc
389,pc
390,pc
391,pc
392,pc
393,pc
394,pc
395,pc
396,pc
397,pc
398,pc
399,pc
400,pc
401,pc
402,pc
403,pc
404,pc
405,pc
406,pc
407,pc
408,pc
409,pc
410,pc
411,pc
412,pc
413,pc
414,pc
415,pc
416,pc
417,pc
418,pc
419,pc
420,pc
421,pc
422,pc
423,pc
424,pc
425,pc
426,pc
427,pc
428,pc
429,pc
430,pc
431,pc
432,pc
433,pc
434,pc
435,pc
436,pc
437,pc
438,pc
439,pc
440,pc
441,pc
442,pc
443,pc
444,pc
445,pc
446,pc
447,pc
448,pc
449,pc
450,pc
451,pc
452,pc
453,pc
454,pc
455,pc
456,pc
457,pc
458,pc
459,pc
460,pc
461,pc
462,pc
463,pc
464,pc
465,pc
466,pc
467,pc
468,pc
469,pc
470,pc
471,pc
472,pc
473,pc
474,pc
475,pc
476,pc
477,pc
478,pc
479,pc
480,pc
481,pc
482,pc
483,pc
484,pc
485,pc
486,pc
487,pc
488,pc
489,pc
490,pc
491,pc
492,pc
493,pc
494,pc
495,pc
496,pc
497,pc
498,pc
499,pc
500,pc
501,pc
502,pc
503,pc
504,pc
505,pc
506,pc
507,pc
508,pc
509,pc
510,pc
511,pc
512,pc
513,pc
514,pc
515,pc
516,pc
517,pc
518,pc
519,pc
520,pc
521,pc
522,pc
523,pc
524,pc
525,pc
526,pc
527,pc
528,pc
529,pc
530,pc
531,pc
532,pc
533,pc
534,pc
535,pc
536,pc
537,pc
538,pc
539,pc
540,pc
541,pc
542,pc
543,pc
544,pc
545,pc
546,pc
547,pc
548,pc
549,pc
550,pc
551,pc
552,pc
553,pc
554,pc
555,pc
556,pc
557,pc
558,pc
559,pc
560,pc
561,pc
562,pc
563,pc
564,pc
565,pc
566,pc
567,pc
568,pc
569,pc
570,pc
571,pc
572,pc
573,pc
574,pc
575,pc
576,pc
577,pc
578,pc
579,pc
580,pc
581,pc
582,pc
583,pc
584,pc
585,pc
586,pc
587,pc
588,pc
589,pc
590,pc
591,pc
592,pc
593,pc
594,pc
595,pc
596,pc
597,pc
598,pc
599,pc
600,pc
601,pc
602,pc
603,pc
604,pc
605,pc
606,pc
607,pc
608,pc
609,pc
610,pc
611,pc
612,pc
613,pc
614,pc
615,pc
616,pc
617,pc
618,pc
619,pc
620,pc
621,pc
622,pc
623,pc
624,pc
625,pc
626,pc
627,pc
628,pc
629,pc
630,pc
631,pc
632,pc
633,pc
634,pc
635,pc
636,pc
637,pc
638,pc
639,pc
640,pc
641,pc
642,pc
643,pc
644,pc
645,pc
646,pc
647,pc
648,pc
649,pc
650,pc
651,pc
652,pc
653,pc
654,pc
655,pc
656,pc
657,pc
658,pc
659,pc
660,pc
661,pc
662,pc
663,pc
664,pc
665,pc
666,pc
667,pc
668,pc
669,pc
670,pc
671,pc
672,pc
673,pc
674,pc
675,pc
676,pc
677,pc
678,pc
679,pc
680,pc
681,pc
682,pc
683,pc
684,pc
685,pc
686,pc
687,pc
688,pc
689,pc
690,pc
691,pc
692,pc
693,pc
694,pc
695,pc
696,pc
697,pc
698,pc
699,pc
700,pc
701,pc
702,pc
703,pc
704,pc
705,pc
706,pc
707,pc
708,pc
709,pc
710,pc
711,pc
712,pc
713,pc
714,pc
715,pc
716,pc
717,pc
718,pc
719,pc
720,pc
721,pc
722,pc
723,pc
724,pc
725,pc
726,pc
727,pc
728,pc
729,pc
730,pc
731,pc
732,pc
733,pc
734,pc
735,pc
736,pc
737,pc
738,pc
739,pc
740,pc
741,pc
742,pc
743,pc
744,pc
745,pc
746,pc
747,pc
748,pc
749,pc
750,pc
751,pc
752,pc
753,pc
754,pc
755,pc
756,pc
757,pc
758,pc
759,pc
760,pc
761,pc
762,pc
763,pc
764,pc
765,pc
766,pc
767,pc
768,pc
769,pc
770,pc
771,pc
772,pc
773,pc
774,pc
775,pc
776,pc
777,pc
778,pc
779,pc
780,pc
781,pc
782,pc
783,pc
784,pc
785,pc
786,pc
787,pc
788,pc
789,pc
790,pc
791,pc
792,pc
793,pc
794,pc
795,pc
796,pc
797,pc
798,pc
799,pc
800,pc
801,pc
802,pc
803,pc
804,pc
805,pc
806,pc
807,pc
808,pc
809,pc
810,pc
811,pc
812,pc
813,pc
814,pc
815,pc
816,pc
817,pc
818,pc
819,pc
820,pc
821,pc
822,pc
823,pc
824,pc
825,pc
826,pc
827,pc
828,pc
829,pc
830,pc
831,pc
832,pc
833,pc
834,pc
835,pc
836,pc
837,pc
838,pc
839,pc
840,pc
841,pc
842,pc
843,pc
844,pc
845,pc
846,pc
847,pc
848,pc
849,pc
850,pc
851,pc
852,pc
853,pc
854,pc
855,pc
856,pc
857,pc
858,pc
859,pc
860,pc
861,pc
862,pc
863,pc
864,pc
865,pc
866,pc
867,pc
868,pc
869,pc
870,pc
871,pc
872,pc
873,pc
874,pc
875,pc
876,pc
877,pc
878,pc
879,pc
880,pc
881,pc
882,pc
883,pc
884,pc
885,pc
886,pc
887,pc
888,pc
889,pc
890,pc
891,pc
892,pc
893,pc
894,pc
895,pc
896,pc
897,pc
898,pc
899,pc
900,pc
901,pc
902,pc
903,pc
904,pc
905,pc
906,pc
907,pc
908,pc
909,pc
910,pc
911,pc
912,pc
913,pc
914,pc
915,pc
916,pc
917,pc
918,pc
919,pc
920,pc
921,pc
922,pc
923,pc
924,pc
925,pc
926,pc
927,pc
928,pc
929,pc
930,pc
931,pc
932,pc
933,pc
934,pc
935,pc
936,pc
937,pc
938,pc
939,pc
940,pc
941,pc
942,pc
943,pc
944,pc
945,pc
946,pc
947,pc
948,pc
949,pc
950,pc
951,pc
952,pc
953,pc
954,pc
955,pc
956,pc
957,pc
958,pc
959,pc
960,pc
961,pc
962,pc
963,pc
964,pc
965,pc
966,pc
967,pc
968,pc
969,pc
970,pc
971,pc
972,pc
973,pc
974,pc
975,pc
976,pc
977,pc
978,pc
979,pc
980,pc
981,pc
982,pc
983,pc
984,pc
985,pc
986,pc
987,pc
988,pc
989,pc
990,pc
991,pc
992,pc
993,pc
994,pc
995,pc
996,pc
997,pc
998,pc
999,pc
1000,pc
1001,pc
1002,pc
1003,pc
1004,pc
1005,pc
1006,pc
1007,pc
1008,pc
1009,pc
1010,pc
1011,pc
1012,pc
1013,pc
